run_id,stage,vpn,client_type,host,repeat,mtu,delay_ms,loss_pct,cpu_stress,tcp_throughput_mbps,udp_throughput_mbps,udp_loss_pct_actual,udp_jitter_ms,rtt_avg_ms,rtt_mdev_ms,cpu_avg_percent,cpu_max_percent,throughput_per_cpu,reconnect_ms,handshake_ms,folder
baseline_wireguard_ubuntu_20260327T225822561802Z_r2_89c055cf,baseline,wireguard,RaspberryPi,ubuntu,2,1500,,,False,88.65416317349518,49.999400501049124,0.00036480373559025247,0.0720699820141691,13.023,0.538,0.035,1.3,2532.9760906712904,,657.0,C:\vpn-thesis\results\baseline_wireguard_ubuntu_20260327T225822561802Z_r2_89c055cf
baseline_wireguard_ubuntu_20260327T230715007494Z_r3_878ea1ee,baseline,wireguard,RaspberryPi,ubuntu,3,1500,,,False,88.72103522532471,49.99939966772725,0.00036480373559025247,0.09194894233568253,12.994,0.346,0.041666666666666664,1.3,2129.3048454077934,,646.0,C:\vpn-thesis\results\baseline_wireguard_ubuntu_20260327T230715007494Z_r3_878ea1ee
baseline_wireguard_ubuntu_20260328T002930742143Z_r1_8c684370,baseline,wireguard,VM,ubuntu,1,1500,,,False,70.00209783719329,49.976513643922935,0.11203807104746473,0.44946954105157366,16.104,2.078,0.21666666666666667,3.4,323.08660540243056,,622.0,C:\vpn-thesis\results\baseline_wireguard_ubuntu_20260328T002930742143Z_r1_8c684370
baseline_wireguard_ubuntu_20260328T004131926944Z_r2_827785f8,baseline,wireguard,VM,ubuntu,2,1500,,,False,28.6888571454216,18.97774189419907,0.0,0.3988282518381467,15.88,1.015,0.25166666666666665,5.0,113.99545885597988,,602.0,C:\vpn-thesis\results\baseline_wireguard_ubuntu_20260328T004131926944Z_r2_827785f8
baseline_wireguard_ubuntu_20260328T005336468350Z_r3_2d0feb16,baseline,wireguard,VM,ubuntu,3,1500,,,False,25.2969263947197,17.20320915454444,0.0,0.333630856229672,15.621,1.384,0.335,11.6,75.51321311856627,,518.0,C:\vpn-thesis\results\baseline_wireguard_ubuntu_20260328T005336468350Z_r3_2d0feb16
cpu_stress_ipsec_ubuntu_20260330T132314070134Z_r1_9fd163cc,cpu_stress,ipsec,VM,ubuntu,1,1500,,,True,11.918852058182075,8.184669897959107,0.0,0.13377083864646253,18.653,4.814,75.26896551724138,100.0,0.15835015103870265,,2648.0,C:\vpn-thesis\results\cpu_stress_ipsec_ubuntu_20260330T132314070134Z_r1_9fd163cc
cpu_stress_ipsec_ubuntu_20260330T133539564540Z_r2_aec62117,cpu_stress,ipsec,VM,ubuntu,2,1500,,,True,11.407323286834364,7.309729238083957,0.0,0.1740632064304959,18.053,2.23,76.26440677966103,100.0,0.1495759787366049,,2659.0,C:\vpn-thesis\results\cpu_stress_ipsec_ubuntu_20260330T133539564540Z_r2_aec62117
cpu_stress_ipsec_ubuntu_20260330T134803001975Z_r3_9559b1a6,cpu_stress,ipsec,VM,ubuntu,3,1500,,,True,9.35307869982939,13.771703495618851,0.0,0.1275442663071151,21.312,4.047,74.00344827586207,100.0,0.1263870659778446,,2594.0,C:\vpn-thesis\results\cpu_stress_ipsec_ubuntu_20260330T134803001975Z_r3_9559b1a6
cpu_stress_openvpn_ubuntu_20260330T115750235422Z_r1_cec8a2dc,cpu_stress,openvpn,RaspberryPi,ubuntu,1,1500,,,True,64.4868212653867,49.9993190011577,0.0105318588730911,0.1326957706754497,13.094,0.141,42.505,50.8,1.517158481717132,,5102.0,C:\vpn-thesis\results\cpu_stress_openvpn_ubuntu_20260330T115750235422Z_r1_cec8a2dc
cpu_stress_openvpn_ubuntu_20260330T120637256710Z_r2_82c84658,cpu_stress,openvpn,RaspberryPi,ubuntu,2,1500,,,True,66.22943976878032,49.9993140012348,0.006794747660058774,0.11211865343728741,13.235,1.019,42.913333333333334,69.4,1.5433301173399174,,5099.0,C:\vpn-thesis\results\cpu_stress_openvpn_ubuntu_20260330T120637256710Z_r2_82c84658
